debug5V0N2E:debugOYFVPD,initialized,0,,1543937988631
debug5V0N2E:debugOYFVPD,window_resize,0,"[1024, 768]",1543937988631
debug5V0N2E:debugOYFVPD,focus,187,on,1543937988818
debug5V0N2E:debugOYFVPD,focus,297231,on,1543938286049
debug9PPJSY:debugYMEY4H,initialized,0,,1543972432927
debug9PPJSY:debugYMEY4H,window_resize,0,"[1024, 768]",1543972432927
debug9PPJSY:debugYMEY4H,focus,200,on,1543972433127
debug9PPJSY:debugYMEY4H,focus,107943,off,1543972541070
debug9PPJSY:debugYMEY4H,focus,39703,on,1543972580773
debug9PPJSY:debugYMEY4H,focus,11678,on,1543972592451
debug9PPJSY:debugYMEY4H,focus,36244,off,1543972628695
debug9PPJSY:debugYMEY4H,focus,9544,on,1543972638239
debug9PPJSY:debugYMEY4H,focus,19585,off,1543972657824
debug9PPJSY:debugYMEY4H,focus,33410,on,1543972691234
debug7PE4GP:debugX9GJII,initialized,0,,1543998439090
debug7PE4GP:debugX9GJII,window_resize,0,"[1024, 768]",1543998439090
debug7PE4GP:debugX9GJII,focus,235,on,1543998439325
debug19U4MS:debugU1KDKN,initialized,0,,1544042662556
debug19U4MS:debugU1KDKN,window_resize,0,"[1024, 768]",1544042662556
debug19U4MS:debugU1KDKN,focus,242,on,1544042662798
debug19U4MS:debugU1KDKN,focus,1456777,on,1544044119575
debug19U4MS:debugU1KDKN,focus,31104884,on,1544075224459
debug19U4MS:debugU1KDKN,focus,10936,off,1544075235395
debug19U4MS:debugU1KDKN,focus,7740,on,1544075243135
debug19U4MS:debugU1KDKN,focus,92203,on,1544075335338
debugE2CP8B:debug0CH2ZV,initialized,0,,1544077500085
debugE2CP8B:debug0CH2ZV,window_resize,0,"[1024, 768]",1544077500085
debugE2CP8B:debug0CH2ZV,focus,165,on,1544077500250
debugE2CP8B:debug0CH2ZV,focus,190533,off,1544077690783
debugE2CP8B:debug0CH2ZV,focus,60428,on,1544077751211
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,initialized,0,,1544106743421
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,window_resize,0,"[1244, 653]",1544106743421
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,36644,off,1544106780065
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,9462,on,1544106789527
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,9317,off,1544106798844
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,32708,on,1544106831552
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,20695,off,1544106852247
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,53168,on,1544106905415
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,299239,off,1544107204654
A35RHTBO93Y2HF:3EFVCAY5L585UKHG8K4K7D9GXU5J8B,focus,367735,on,1544107572389
debug53H06X:debugJ5OQLG,initialized,0,,1544120328928
debug53H06X:debugJ5OQLG,window_resize,0,"[1024, 768]",1544120328928
debug53H06X:debugJ5OQLG,focus,293,on,1544120329221
debug5F5KLP:debugPOIIUE,initialized,0,,1544128937475
debug5F5KLP:debugPOIIUE,window_resize,0,"[1024, 768]",1544128937475
debug5F5KLP:debugPOIIUE,focus,253,on,1544128937728
debug5F5KLP:debugPOIIUE,focus,29286,off,1544128967014
debug5F5KLP:debugPOIIUE,focus,15955,on,1544128982969
debug5F5KLP:debugPOIIUE,focus,36722,off,1544129019691
debug5F5KLP:debugPOIIUE,focus,21473,on,1544129041164
debugMT6CHI:debug8XB1S4,initialized,0,,1544129146698
